date,quantity,scope,client,contract,state
2026-04-21,1,Sopralluogo magazzino automatizzato,Nordwind Logistics S.r.l.,,worked
2026-05-29,1,Ottimizzazione rotte settimanali,Bellani & Partners S.t.p.,,
2026-06-12,1,Formazione team logistica,Nordwind Logistics S.r.l.,,worked
2026-03-05,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-08-04,1,Ottimizzazione rotte settimanali,Nordwind Logistics S.r.l.,,worked
2026-03-30,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-06-19,1,Revisione processi di approvvigionamento,Bellani & Partners S.t.p.,,
2026-03-03,1,Formazione team logistica,Nordwind Logistics S.r.l.,,worked
2026-04-02,0.5,Advisory review,Nordwind Logistics S.r.l.,,proposed
2026-01-12,1,API migration,Bellani & Partners S.t.p.,,
2026-05-19,1,Formazione team logistica,Nordwind Logistics S.r.l.,,worked
2026-03-06,1,Monthly retainer check-in,Bellani & Partners S.t.p.,,worked
2026-06-04,1,Contract audit,Nordwind Logistics S.r.l.,,worked
2026-06-09,1,Pianificazione manutenzione flotta,Bellani & Partners S.t.p.,,worked
2026-01-22,1,Pianificazione manutenzione flotta,Bellani & Partners S.t.p.,,
2026-08-12,1,Revisione flusso di carico,Nordwind Logistics S.r.l.,,worked
2026-05-05,0.5,Monthly retainer check-in,Nordwind Logistics S.r.l.,,worked
2026-06-05,1,Ottimizzazione rotte settimanali,Nordwind Logistics S.r.l.,,worked
2026-01-08,1,Sprint planning,Nordwind Logistics S.r.l.,,worked
2026-07-20,1,Revisione processi di approvvigionamento,Nordwind Logistics S.r.l.,,worked
2026-03-03,1,,Nordwind Logistics S.r.l.,,
2026-07-08,0.5,Workshop pianificazione strategica,Bellani & Partners S.t.p.,,worked
2026-05-04,0.5,Pianificazione manutenzione flotta,Nordwind Logistics S.r.l.,,worked
2026-02-30,1,Impossible date,Nordwind Logistics S.r.l.,,
2026-08-10,1,Already on record (Nordwind),Nordwind Logistics S.r.l.,,
2026-02-20,1,Audit trimestrale scorte,Nordwind Logistics S.r.l.,,worked
2026-05-01,1,Allineamento mensile con la direzione,Nordwind Logistics S.r.l.,,
2026-06-16,1,Contract audit,Nordwind Logistics S.r.l.,,worked
2026-01-29,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-04-16,0.5,Allineamento mensile con la direzione,Nordwind Logistics S.r.l.,,worked
2026-01-13,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-07-08,1,Ottimizzazione rotte settimanali,Nordwind Logistics S.r.l.,,
2026-07-30,1,API migration,Nordwind Logistics S.r.l.,,
2026-03-20,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-02-10,1,Revisione flusso di carico,Bellani & Partners S.t.p.,,worked
2026-01-13,1,Revisione processi di approvvigionamento,Bellani & Partners S.t.p.,,worked
2026-03-23,0.5,Riconciliazione inventario mensile,Bellani & Partners S.t.p.,,
2026-03-13,1,Pianificazione manutenzione flotta,Nordwind Logistics S.r.l.,,worked
2026-03-10,1,Sopralluogo magazzino automatizzato,Bellani & Partners S.t.p.,,
2026-01-08,1,Monthly retainer check-in,Bellani & Partners S.t.p.,,worked
2026-03-06,0,Zero quantity,Nordwind Logistics S.r.l.,,
2026-01-19,1,Allineamento mensile con la direzione,Bellani & Partners S.t.p.,,
2026-06-12,1,Advisory review,Bellani & Partners S.t.p.,,
2026-05-14,1,Revisione flusso di carico,Nordwind Logistics S.r.l.,,worked
2026-07-29,1,Workshop pianificazione strategica,Nordwind Logistics S.r.l.,,worked
2026-06-24,1,Contract audit,Nordwind Logistics S.r.l.,,
2026-02-27,1,Sopralluogo magazzino automatizzato,Nordwind Logistics S.r.l.,,worked
2026-05-13,1,Sprint planning,Nordwind Logistics S.r.l.,,
2026-03-30,1,Sprint planning,Nordwind Logistics S.r.l.,,
2026-06-05,1,Already on record (Bellani),Bellani & Partners S.t.p.,,
2026-08-11,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-02-26,1,Audit trimestrale scorte,Nordwind Logistics S.r.l.,,
2026-03-25,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-02-09,1,Allineamento mensile con la direzione,Nordwind Logistics S.r.l.,,
2026-05-29,1,API migration,Nordwind Logistics S.r.l.,,worked
2026-03-09,1,Ghost client,Ghost Client S.r.l.,,
2026-03-13,1,API migration,Bellani & Partners S.t.p.,,worked
2026-05-06,1,Sopralluogo magazzino automatizzato,Bellani & Partners S.t.p.,,
2026-03-26,1,Monthly retainer check-in,Bellani & Partners S.t.p.,,
2026-04-30,1,Ottimizzazione rotte settimanali,Nordwind Logistics S.r.l.,,worked
2026-05-12,1,Ottimizzazione rotte settimanali,Nordwind Logistics S.r.l.,,worked
2026-05-20,1,API migration,Bellani & Partners S.t.p.,,
2026-05-26,1,Pianificazione manutenzione flotta,Bellani & Partners S.t.p.,,worked
2026-03-02,1,Audit trimestrale scorte,Nordwind Logistics S.r.l.,,worked
2026-08-10,1,Revisione processi di approvvigionamento,Bellani & Partners S.t.p.,,worked
2026-06-03,0.5,Revisione flusso di carico,Nordwind Logistics S.r.l.,,worked
2026-04-02,1,Revisione processi di approvvigionamento,Bellani & Partners S.t.p.,,
2026-06-10,1,Formazione team logistica,Nordwind Logistics S.r.l.,,worked
2026-06-23,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-02-13,1,Workshop pianificazione strategica,Nordwind Logistics S.r.l.,,
2026-03-04,1,Audit trimestrale scorte,Nordwind Logistics S.r.l.,,worked
2026-07-07,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-06-01,1,Advisory review,Bellani & Partners S.t.p.,,worked
2026-02-05,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-01-30,1,Pianificazione manutenzione flotta,Bellani & Partners S.t.p.,,
2026-07-02,1,Ottimizzazione rotte settimanali,Nordwind Logistics S.r.l.,,
2026-04-10,1,QA pass,Nordwind Logistics S.r.l.,,worked
,1,Missing date,Nordwind Logistics S.r.l.,,
2026-05-28,1,Sopralluogo magazzino automatizzato,Nordwind Logistics S.r.l.,,worked
2026-05-25,1,Allineamento mensile con la direzione,Nordwind Logistics S.r.l.,,
2026-08-06,0.5,Riconciliazione inventario mensile,Nordwind Logistics S.r.l.,,
2026-07-10,1,Audit trimestrale scorte,Nordwind Logistics S.r.l.,,
2026-07-01,1,Monthly retainer check-in,Nordwind Logistics S.r.l.,,worked
2026-03-18,1,Sprint planning,Bellani & Partners S.t.p.,,
2026-01-29,1,Advisory review,Nordwind Logistics S.r.l.,,proposed
2026-01-20,1,Revisione flusso di carico,Bellani & Partners S.t.p.,,
2026-05-27,1,Revisione processi di approvvigionamento,Nordwind Logistics S.r.l.,,worked
2026-04-06,1,Workshop pianificazione strategica,Nordwind Logistics S.r.l.,,worked
2026-04-17,1,Sopralluogo magazzino automatizzato,Nordwind Logistics S.r.l.,,
2026-07-02,1,Riconciliazione inventario mensile,Bellani & Partners S.t.p.,,
2026-02-03,1,Revisione flusso di carico,Nordwind Logistics S.r.l.,,
2026-07-31,1,Ottimizzazione rotte settimanali,Nordwind Logistics S.r.l.,,
2026-06-30,1,Pianificazione manutenzione flotta,Nordwind Logistics S.r.l.,,worked
2026-07-23,1,Formazione team logistica,Bellani & Partners S.t.p.,,
2026-07-03,1,Advisory review,Bellani & Partners S.t.p.,,
2026-05-18,1,API migration,Nordwind Logistics S.r.l.,,worked
2026-03-04,1,Missing client,,,
2026-06-10,1,API migration,Bellani & Partners S.t.p.,,worked
2026-07-14,1,Workshop pianificazione strategica,Nordwind Logistics S.r.l.,,
2026-02-06,1,Workshop pianificazione strategica,Nordwind Logistics S.r.l.,,worked
2026-05-21,1,Ottimizzazione rotte settimanali,Nordwind Logistics S.r.l.,,proposed
2026-06-23,1,Riconciliazione inventario mensile,Nordwind Logistics S.r.l.,,worked
2026-06-26,1,Revisione processi di approvvigionamento,Bellani & Partners S.t.p.,,worked
2026-01-27,1,Revisione processi di approvvigionamento,Nordwind Logistics S.r.l.,,worked
2026-06-02,1,Allineamento mensile con la direzione,Bellani & Partners S.t.p.,,worked
2026-07-16,1,QA pass,Nordwind Logistics S.r.l.,,
2026-02-25,1,Contract audit,Bellani & Partners S.t.p.,,worked
2026-01-09,0.5,Advisory review,Nordwind Logistics S.r.l.,,worked
2026-01-20,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-02-24,1,Revisione processi di approvvigionamento,Bellani & Partners S.t.p.,,
not-a-date,1,Garbage date,Nordwind Logistics S.r.l.,,
2026-07-07,1,Audit trimestrale scorte,Nordwind Logistics S.r.l.,,worked
2026-03-11,0.5,Contract audit,Nordwind Logistics S.r.l.,,worked
2026-03-05,abc,Non-numeric quantity,Nordwind Logistics S.r.l.,,
2026-03-27,1,API migration,Bellani & Partners S.t.p.,,
2026-03-10,1,Sopralluogo magazzino automatizzato,Nordwind Logistics S.r.l.,,worked
2026-04-27,1,API migration,Nordwind Logistics S.r.l.,,worked
2026-07-17,1,Allineamento mensile con la direzione,Nordwind Logistics S.r.l.,,proposed
2026-02-24,1,Revisione processi di approvvigionamento,Nordwind Logistics S.r.l.,,worked
2026-02-03,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-06-24,1,API migration,Bellani & Partners S.t.p.,,worked
2026-02-06,1,Sprint planning,Bellani & Partners S.t.p.,,worked
2026-03-10,1,Bad contract name,Nordwind Logistics S.r.l.,Nonexistent engagement,
2026-04-28,1,Revisione flusso di carico,Nordwind Logistics S.r.l.,,
2026-02-20,1,Audit trimestrale scorte,Bellani & Partners S.t.p.,,
2026-04-01,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-01-06,1,Allineamento mensile con la direzione,Bellani & Partners S.t.p.,,worked
2026-03-02,,Missing quantity,Nordwind Logistics S.r.l.,,
2026-04-03,1,Monthly retainer check-in,Bellani & Partners S.t.p.,,worked
2026-02-25,1,Sopralluogo magazzino automatizzato,Nordwind Logistics S.r.l.,,worked
2026-03-31,1,Formazione team logistica,Nordwind Logistics S.r.l.,,worked
2026-01-19,0.5,API migration,Nordwind Logistics S.r.l.,,
2026-05-15,1,Workshop pianificazione strategica,Bellani & Partners S.t.p.,,
2026-04-22,1,Allineamento mensile con la direzione,Nordwind Logistics S.r.l.,,worked
2026-02-18,1,Audit trimestrale scorte,Nordwind Logistics S.r.l.,,
2026-07-13,0.5,Formazione team logistica,Bellani & Partners S.t.p.,,
2026-07-16,1,Audit trimestrale scorte,Bellani & Partners S.t.p.,,
2026-05-07,1,Formazione team logistica,Nordwind Logistics S.r.l.,,
2026-06-16,1,Monthly retainer check-in,Bellani & Partners S.t.p.,,worked
2026-01-26,1,Duplicate row A,Nordwind Logistics S.r.l.,,
2026-07-13,1,API migration,Nordwind Logistics S.r.l.,,worked
2026-06-19,1,Riconciliazione inventario mensile,Nordwind Logistics S.r.l.,,
2026-04-07,1,Contract audit,Nordwind Logistics S.r.l.,,
2026-03-07,-1,Negative quantity,Nordwind Logistics S.r.l.,,
2026-03-17,1,Allineamento mensile con la direzione,Nordwind Logistics S.r.l.,,worked
2026-06-22,1,Workshop pianificazione strategica,Nordwind Logistics S.r.l.,,worked
2026-06-11,1,Ottimizzazione rotte settimanali,Nordwind Logistics S.r.l.,,worked
2026-06-25,1,Advisory review,Nordwind Logistics S.r.l.,,worked
2026-03-12,1,Allineamento mensile con la direzione,Bellani & Partners S.t.p.,,worked
2026-07-06,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-05-26,1,Contract audit,Nordwind Logistics S.r.l.,,proposed
2026-04-24,1,Sopralluogo magazzino automatizzato,Nordwind Logistics S.r.l.,,
2026-01-07,1,Formazione team logistica,Nordwind Logistics S.r.l.,,
2026-01-16,1,Pianificazione manutenzione flotta,Nordwind Logistics S.r.l.,,worked
2026-02-16,1,Riconciliazione inventario mensile,Nordwind Logistics S.r.l.,,worked
2026-08-05,1,Workshop pianificazione strategica,Bellani & Partners S.t.p.,,worked
2026-04-28,1,Revisione processi di approvvigionamento,Bellani & Partners S.t.p.,,worked
2026-03-18,1,Audit trimestrale scorte,Nordwind Logistics S.r.l.,,worked
2026-02-26,1,Revisione flusso di carico,Bellani & Partners S.t.p.,,worked
2026-03-19,1,Advisory review,Bellani & Partners S.t.p.,,
2026-02-17,1,Sprint planning,Nordwind Logistics S.r.l.,,worked
2026-04-24,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-04-20,0.5,Advisory review,Nordwind Logistics S.r.l.,,
2026-05-27,1,Riconciliazione inventario mensile,Bellani & Partners S.t.p.,,
2026-06-04,1,Contract audit,Bellani & Partners S.t.p.,,
2026-04-29,1,Revisione processi di approvvigionamento,Nordwind Logistics S.r.l.,,worked
2026-07-14,1,Revisione flusso di carico,Bellani & Partners S.t.p.,,worked
2026-08-04,1,API migration,Bellani & Partners S.t.p.,,worked
2026-02-04,1,Sprint planning,Bellani & Partners S.t.p.,,
2026-04-09,1,Formazione team logistica,Bellani & Partners S.t.p.,,
2026-07-29,1,Riconciliazione inventario mensile,Bellani & Partners S.t.p.,,worked
2026-07-17,0.5,Workshop pianificazione strategica,Bellani & Partners S.t.p.,,
2026-06-26,1,Formazione team logistica,Nordwind Logistics S.r.l.,,
2026-06-23,0.5,Advisory review,Bellani & Partners S.t.p.,,worked
2026-06-03,1,Contract audit,Bellani & Partners S.t.p.,,
2026-04-24,1,Pianificazione manutenzione flotta,Bellani & Partners S.t.p.,,
2026-06-11,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-02-25,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-07-22,1,Allineamento mensile con la direzione,Nordwind Logistics S.r.l.,,proposed
2026-01-26,0.5,"Duplicate row B — same day, same contract",Nordwind Logistics S.r.l.,,
2026-04-08,1,Pianificazione manutenzione flotta,Nordwind Logistics S.r.l.,,worked
2026-07-23,1,Allineamento mensile con la direzione,Nordwind Logistics S.r.l.,,
2026-06-22,1,Riconciliazione inventario mensile,Bellani & Partners S.t.p.,,worked
2026-01-05,1,Pianificazione manutenzione flotta,Nordwind Logistics S.r.l.,,
2026-08-03,1,Allineamento mensile con la direzione,Bellani & Partners S.t.p.,,worked
2026-05-11,1,Contract audit,Bellani & Partners S.t.p.,,worked
2026-03-08,1,Unrecognised state,Nordwind Logistics S.r.l.,,maybe
2026-05-08,1,Revisione processi di approvvigionamento,Nordwind Logistics S.r.l.,,
2026-01-28,1,Riconciliazione inventario mensile,Nordwind Logistics S.r.l.,,worked
2026-02-05,1,Riconciliazione inventario mensile,Bellani & Partners S.t.p.,,worked
2026-03-19,1,Advisory review,Nordwind Logistics S.r.l.,,
2026-07-15,1,Formazione team logistica,Nordwind Logistics S.r.l.,,worked
2026-04-15,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-01-21,1,Advisory review,Bellani & Partners S.t.p.,,
2026-05-06,1,Audit trimestrale scorte,Nordwind Logistics S.r.l.,,worked
2026-01-23,1,API migration,Nordwind Logistics S.r.l.,,worked
2026-03-02,1,Sopralluogo magazzino automatizzato,Bellani & Partners S.t.p.,,worked
2026-04-14,0.5,Allineamento mensile con la direzione,Bellani & Partners S.t.p.,,worked
2026-08-07,1,Advisory review,Nordwind Logistics S.r.l.,,worked
2026-05-04,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-03-16,1,Monthly retainer check-in,Fermata Digitale S.r.l.,,
2026-04-03,1,Pianificazione manutenzione flotta,Nordwind Logistics S.r.l.,,worked
2026-05-28,1,Advisory review,Bellani & Partners S.t.p.,,
2026-05-05,1,Monthly retainer check-in,Bellani & Partners S.t.p.,,
2026-07-10,1,QA pass,Bellani & Partners S.t.p.,,worked
2026-01-29,1,Monthly retainer check-in,Bellani & Partners S.t.p.,,worked
